timestamp,total_value,cash,num_holdings
2026-07-30T17:50:24.605405,100370.49,3.81,30
2026-07-30T17:52:48.872327,100398.56,3.81,30
2026-07-30T17:55:13.425142,100375.17,3.81,30
2026-07-30T17:57:41.163470,100388.83,3.81,30
2026-07-30T18:00:20.814404,100433.58,3.81,30
2026-07-30T18:02:32.109837,100484.68,3.81,30
2026-07-30T18:06:58.072787,100440.57,3.81,30
2026-07-30T18:12:08.106027,100397.16,3.81,30
2026-07-30T18:17:00.036787,100443.84,3.81,30
2026-07-30T18:21:58.059129,100455.2,3.81,30
2026-07-30T18:27:05.721814,100440.14,3.81,30
2026-07-30T18:32:03.674993,100465.67,3.81,30
2026-07-30T18:36:55.889252,100504.52,3.81,30
2026-07-30T18:42:06.314928,100508.09,3.81,30
2026-07-30T18:47:09.342783,100487.05,3.81,30
2026-07-30T18:52:20.771846,100554.01,3.81,30
2026-07-30T18:57:02.853681,100594.7,3.81,30
2026-07-30T19:02:22.458018,100650.06,3.81,30
2026-07-30T19:06:59.540511,100641.88,3.81,30
2026-07-30T19:12:07.542685,100645.14,3.81,30
2026-07-30T19:14:31.088557,100673.65,3.81,30
2026-07-30T19:17:01.512696,100638.75,3.81,30
2026-07-30T19:22:16.727535,100672.12,3.81,30
2026-07-30T19:26:59.668280,100657.0,3.81,30
2026-07-30T19:32:11.919275,100612.4,3.81,30
2026-07-30T19:37:02.804934,100609.27,3.81,30
2026-07-30T19:41:58.581885,100598.92,3.81,30
2026-07-30T19:47:08.644391,100560.83,3.81,30
2026-07-30T19:52:03.212105,100547.15,3.81,30
2026-07-30T19:57:09.867509,100636.16,3.81,30
2026-07-30T20:02:08.972124,100831.41,3.81,30
