timestamp,book,realized_pnl_dollars,closed_trades,wins,win_rate_pct,avg_realized_pnl_pct,unrealized_pnl_dollars,open_positions,gross_exposure_dollars
2026-08-19T21:45:27.484840,legacy,-1705.68,19,4,21.05,-2.19,690.97,17,93910.88
2026-08-19T21:46:30.280680,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:48:30.666453,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:50:44.367211,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:52:32.222934,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:54:32.494278,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:57:08.719913,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T21:58:49.166967,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T22:01:58.824016,legacy,-1705.68,19,4,21.05,-2.19,694.82,17,93914.74
2026-08-19T22:02:46.467474,legacy,-1705.68,19,4,21.05,-2.19,689.46,17,93909.38
2026-08-19T22:04:43.588269,legacy,-1705.68,19,4,21.05,-2.19,689.46,17,93909.38
2026-08-19T22:06:30.480102,legacy,-1705.68,19,4,21.05,-2.19,689.46,17,93909.38
2026-08-19T22:08:39.604606,legacy,-1705.68,19,4,21.05,-2.19,689.46,17,93909.38
2026-08-19T22:10:43.540890,legacy,-1705.68,19,4,21.05,-2.19,692.92,17,93912.84
2026-08-19T22:12:30.462078,legacy,-1705.68,19,4,21.05,-2.19,692.92,17,93912.84
2026-08-19T22:15:21.477490,legacy,-1705.68,19,4,21.05,-2.19,698.63,17,93918.54
2026-08-19T22:17:27.117998,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T22:18:40.724264,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T22:20:48.829256,legacy,-1705.68,19,4,21.05,-2.19,696.72,17,93916.64
2026-08-19T22:22:39.436704,legacy,-1705.68,19,4,21.05,-2.19,696.7,17,93916.62
2026-08-19T22:24:29.175329,legacy,-1705.68,19,4,21.05,-2.19,696.7,17,93916.62
2026-08-19T22:26:40.707454,legacy,-1705.68,19,4,21.05,-2.19,696.7,17,93916.62
2026-08-19T22:28:38.724461,legacy,-1705.68,19,4,21.05,-2.19,696.7,17,93916.62
2026-08-19T22:30:37.999168,legacy,-1705.68,19,4,21.05,-2.19,701.65,17,93921.57
2026-08-19T22:32:40.645310,legacy,-1705.68,19,4,21.05,-2.19,702.92,17,93922.84
2026-08-19T22:35:16.528746,legacy,-1705.68,19,4,21.05,-2.19,706.72,17,93926.64
2026-08-19T22:36:28.589558,legacy,-1705.68,19,4,21.05,-2.19,706.26,17,93926.18
2026-08-19T22:38:32.226299,legacy,-1705.68,19,4,21.05,-2.19,706.26,17,93926.18
2026-08-19T22:40:35.681927,legacy,-1705.68,19,4,21.05,-2.19,706.26,17,93926.18
2026-08-19T22:42:35.278340,legacy,-1705.68,19,4,21.05,-2.19,731.84,17,93951.76
2026-08-19T22:45:11.127489,legacy,-1705.68,19,4,21.05,-2.19,731.84,17,93951.76
2026-08-19T22:47:09.962649,legacy,-1705.68,19,4,21.05,-2.19,731.84,17,93951.76
2026-08-19T22:51:23.961988,legacy,-1705.68,19,4,21.05,-2.19,728.04,17,93947.96
